DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,16832834,,
1951-12-31,17219627,2.3,
1952-12-31,17614454,2.29,
1953-12-31,18017545,2.29,
1954-12-31,18434881,2.32,
1955-12-31,18873864,2.38,
1956-12-31,19332414,2.43,
1957-12-31,19805912,2.45,
1958-12-31,20295117,2.47,
1959-12-31,20821847,2.6,
1960-12-31,21388806,2.72,
1961-12-31,21983622,2.78,
1962-12-31,22605050,2.83,
1963-12-31,23259094,2.89,
1964-12-31,23948624,2.96,
1965-12-31,24667026,3,
1966-12-31,25398700,2.97,
1967-12-31,26133341,2.89,
1968-12-31,26875302,2.84,
1969-12-31,27643685,2.86,
1970-12-31,28449705,2.92,
1971-12-31,29273682,2.9,
1972-12-31,30111574,2.86,
1973-12-31,30981898,2.89,
1974-12-31,31895534,2.95,
1975-12-31,32856976,3.01,
1976-12-31,33841060,3,
1977-12-31,34876497,3.06,
1978-12-31,35993661,3.2,
1979-12-31,37205013,3.37,
1980-12-31,38520664,3.54,
1981-12-31,40476251,5.08,
1982-12-31,42500030,5,
1983-12-31,44027986,3.6,
1984-12-31,45628402,3.63,
1985-12-31,47266160,3.59,
1986-12-31,48913237,3.48,
1987-12-31,50541490,3.33,
1988-12-31,52111868,3.11,
1989-12-31,53644736,2.94,
1990-12-31,55793629,4.01,
1991-12-31,57990883,3.94,
1992-12-31,59372016,2.38,
1993-12-31,59755430,0.65,
1994-12-31,59985749,0.39,
1995-12-31,60794809,1.35,
1996-12-31,61598378,1.32,
1997-12-31,62480533,1.43,
1998-12-31,63461421,1.57,
1999-12-31,64474745,1.6,
2000-12-31,65544383,1.66,
2001-12-31,66674851,1.72,
2002-12-31,67327117,0.98,
2003-12-31,67954699,0.93,
2004-12-31,69061674,1.63,
2005-12-31,70182594,1.62,
2006-12-31,71275760,1.56,
2007-12-31,72319418,1.46,
2008-12-31,73318394,1.38,
2009-12-31,74322685,1.37,
2010-12-31,75373855,1.41,
2011-12-31,76342971,1.29,
2012-12-31,77324451,1.29,
2013-12-31,78458928,1.47,
2014-12-31,79961672,1.92,
2015-12-31,81790841,2.29,
2016-12-31,83306231,1.85,
2017-12-31,84505076,1.44,
2018-12-31,85617562,1.32,
2019-12-31,86564202,1.11,
2020-12-31,87290193,0.84,
2021-12-31,87923432,0.73,
2022-12-31,88550570,0.71,
2023-12-31,89172767,0.7,
2024-12-31,89809781,0.71,
2025-12-31,90410659,0.67,
2026-12-31,90976221,0.63,
2027-12-31,91506852,0.58,
2028-12-31,92005102,0.54,
2029-12-31,92475363,0.51,
2030-12-31,92921017,0.48,
2031-12-31,93343543,0.45,
2032-12-31,93745796,0.43,
2033-12-31,94130484,0.41,
2034-12-31,94501761,0.39,
2035-12-31,94861188,0.38,
2036-12-31,95209476,0.37,
2037-12-31,95548456,0.36,
2038-12-31,95879769,0.35,
2039-12-31,96203069,0.34,
2040-12-31,96518596,0.33,
2041-12-31,96826532,0.32,
2042-12-31,97127583,0.31,
2043-12-31,97421494,0.3,
2044-12-31,97706793,0.29,
2045-12-31,97981000,0.28,
2046-12-31,98240506,0.26,
2047-12-31,98479032,0.24,
2048-12-31,98688811,0.21,
2049-12-31,98865529,0.18,
2050-12-31,99007204,0.14,
2051-12-31,99112400,0.11,
2052-12-31,99177563,0.07,
2053-12-31,99201180,0.02,
2054-12-31,99182264,-0.02,
2055-12-31,99119582,-0.06,
2056-12-31,99014787,-0.11,
2057-12-31,98870205,-0.15,
2058-12-31,98686361,-0.19,
2059-12-31,98465614,-0.22,
2060-12-31,98210621,-0.26,
2061-12-31,97925201,-0.29,
2062-12-31,97611375,-0.32,
2063-12-31,97270729,-0.35,
2064-12-31,96905875,-0.38,
2065-12-31,96516348,-0.4,
2066-12-31,96104921,-0.43,
2067-12-31,95675250,-0.45,
2068-12-31,95229808,-0.47,
2069-12-31,94770145,-0.48,
2070-12-31,94297926,-0.5,
2071-12-31,93816003,-0.51,
2072-12-31,93325847,-0.52,
2073-12-31,92828492,-0.53,
2074-12-31,92324334,-0.54,
2075-12-31,91814864,-0.55,
2076-12-31,91303174,-0.56,
2077-12-31,90790917,-0.56,
2078-12-31,90279071,-0.56,
2079-12-31,89769004,-0.56,
2080-12-31,89260962,-0.57,
2081-12-31,88756462,-0.57,
2082-12-31,88257704,-0.56,
2083-12-31,87763916,-0.56,
2084-12-31,87274584,-0.56,
2085-12-31,86792827,-0.55,
2086-12-31,86319300,-0.55,
2087-12-31,85851326,-0.54,
2088-12-31,85388156,-0.54,
2089-12-31,84930902,-0.54,
2090-12-31,84477212,-0.53,
2091-12-31,84025819,-0.53,
2092-12-31,83578196,-0.53,
2093-12-31,83130842,-0.54,
2094-12-31,82682609,-0.54,
2095-12-31,82232622,-0.54,
2096-12-31,81777235,-0.55,
2097-12-31,81316334,-0.56,
2098-12-31,80850629,-0.57,
2099-12-31,80380848,-0.58,
2100-12-31,79906390,-0.59,
